prenom,nom,lien,id_club
David,Raya,https://www.transfermarkt.fr/david-raya/profil/spieler/262749,1
Kepa,Arrizabalaga,https://www.transfermarkt.fr/kepa-arrizabalaga/profil/spieler/192279,1
William,Saliba,https://www.transfermarkt.fr/william-saliba/profil/spieler/495666,1
Gabriel,Magalhães,https://www.transfermarkt.fr/gabriel-magalhaes/profil/spieler/435338,1
Piero,Hincapié,https://www.transfermarkt.fr/piero-hincapie/profil/spieler/659813,1
Cristhian,Mosquera,https://www.transfermarkt.fr/cristhian-mosquera/profil/spieler/646750,1
Myles,Lewis-Skelly,https://www.transfermarkt.fr/myles-lewis-skelly/profil/spieler/890721,1
Riccardo,Calafiori,https://www.transfermarkt.fr/riccardo-calafiori/profil/spieler/502821,1
Jurriën,Timber,https://www.transfermarkt.fr/jurrien-timber/profil/spieler/420243,1
Ben,White,https://www.transfermarkt.fr/ben-white/profil/spieler/335721,1
Martín,Zubimendi,https://www.transfermarkt.fr/martin-zubimendi/profil/spieler/423440,1
Christian,Nørgaard,https://www.transfermarkt.fr/christian-norgaard/profil/spieler/148367,1
Declan,Rice,https://www.transfermarkt.fr/declan-rice/profil/spieler/357662,1
Mikel,Merino,https://www.transfermarkt.fr/mikel-merino/profil/spieler/338424,1
Martin,Ødegaard,https://www.transfermarkt.fr/martin-odegaard/profil/spieler/316264,1
Eberechi,Eze,https://www.transfermarkt.fr/eberechi-eze/profil/spieler/479999,1
Ethan,Nwaneri,https://www.transfermarkt.fr/ethan-nwaneri/profil/spieler/890719,1
Gabriel,Martinelli,https://www.transfermarkt.fr/gabriel-martinelli/profil/spieler/655488,1
Leandro,Trossard,https://www.transfermarkt.fr/leandro-trossard/profil/spieler/144028,1
Bukayo,Saka,https://www.transfermarkt.fr/bukayo-saka/profil/spieler/433177,1
Noni,Madueke,https://www.transfermarkt.fr/noni-madueke/profil/spieler/503987,1
Max,Dowman,https://www.transfermarkt.fr/max-dowman/profil/spieler/1187629,1
Viktor,Gyökeres,https://www.transfermarkt.fr/viktor-gyokeres/profil/spieler/325443,1
Kai,Havertz,https://www.transfermarkt.fr/kai-havertz/profil/spieler/309400,1
Gabriel,Jesus,https://www.transfermarkt.fr/gabriel-jesus/profil/spieler/363205,1
Gianluigi,Donnarumma,https://www.transfermarkt.fr/gianluigi-donnarumma/profil/spieler/315858,2
James,Trafford,https://www.transfermarkt.fr/james-trafford/profil/spieler/566799,2
Stefan,Ortega,https://www.transfermarkt.fr/stefan-ortega/profil/spieler/85941,2
Marcus,Bettinelli,https://www.transfermarkt.fr/marcus-bettinelli/profil/spieler/116648,2
Josko,Gvardiol,https://www.transfermarkt.fr/josko-gvardiol/profil/spieler/475959,2
Rúben,Dias,https://www.transfermarkt.fr/ruben-dias/profil/spieler/258004,2
Abdukodir,Khusanov,https://www.transfermarkt.fr/abdukodir-khusanov/profil/spieler/763079,2
John,Stones,https://www.transfermarkt.fr/john-stones/profil/spieler/186590,2
Nathan,Aké,https://www.transfermarkt.fr/nathan-ake/profil/spieler/177476,2
Rayan,Aït-Nouri,https://www.transfermarkt.fr/rayan-ait-nouri/profil/spieler/578391,2
Nico,O'Reilly,https://www.transfermarkt.fr/nico-oreilly/profil/spieler/743413,2
Rico,Lewis,https://www.transfermarkt.fr/rico-lewis/profil/spieler/701057,2
